Project ID,Risk ID,Risk Level,Impact Date,Owner,Status,Risk Category,Date Identified,Mitigation Plan,Probability,Last Updated
PRJ015,RISK001,Critical,7,Michelle Marshall,Mitigated,Resource,2024-12-18,This is the mitigation plan.,56,2025-02-08
PRJ012,RISK002,High,10,Karen Burns,In Progress,Technical,2025-01-30,This is the mitigation plan.,25,2025-03-23
PRJ011,RISK003,Critical,16,Robert Jacobs,Mitigated,Schedule,2025-03-07,This is the mitigation plan.,51,2025-04-17
PRJ014,RISK004,Critical,11,Lydia Park,Open,Technical,2025-02-05,This is the mitigation plan.,18,2025-03-25
PRJ018,RISK005,Low,11,Lydia Park,Mitigated,External,2024-12-23,This is the mitigation plan.,29,2025-03-28
PRJ020,RISK006,Low,28,Cindy Roberts,Closed,External,2025-01-28,This is the mitigation plan.,77,2024-12-24
PRJ015,RISK007,Medium,22,Ms. Janet Harris,In Progress,Technical,2025-02-19,This is the mitigation plan.,36,2025-03-14
PRJ016,RISK008,High,7,Linda Jones,Closed,Technical,2025-03-28,This is the mitigation plan.,51,2025-03-08
PRJ010,RISK009,Critical,4,Lisa Walsh,In Progress,Resource,2024-12-30,This is the mitigation plan.,93,2025-02-17
PRJ005,RISK010,Critical,9,Karen Burns,In Progress,Resource,2025-03-20,This is the mitigation plan.,18,2025-04-17
PRJ008,RISK011,Critical,18,Lydia Park,Closed,External,2025-01-20,This is the mitigation plan.,59,2025-01-27
PRJ016,RISK012,High,30,Jason Hernandez,In Progress,Technical,2025-03-19,This is the mitigation plan.,74,2025-05-09
PRJ019,RISK013,Low,13,Karen Burns,Closed,Schedule,2025-02-08,This is the mitigation plan.,62,2025-04-08
PRJ015,RISK014,Medium,8,Lisa Walsh,In Progress,Technical,2025-03-15,This is the mitigation plan.,44,2025-03-17
PRJ001,RISK008,High,30,Michelle Marshall,In Progress,Resource,2025-02-17,This is the mitigation plan.,16,2025-04-21
PRJ017,RISK016,Medium,3,Karen Burns,Open,Resource,2025-03-02,This is the mitigation plan.,10,2025-03-17
PRJ006,RISK017,High,21,Lisa Walsh,Open,Schedule,2025-01-25,This is the mitigation plan.,37,2025-04-14
PRJ017,RISK018,Medium,19,Lydia Park,Mitigated,External,2025-04-14,This is the mitigation plan.,29,2025-03-19
PRJ002,RISK019,Critical,23,Michelle Marshall,Mitigated,Schedule,2025-02-05,This is the mitigation plan.,20,2025-04-14
PRJ004,RISK020,Critical,9,Linda Jones,Open,Schedule,2024-12-20,This is the mitigation plan.,23,2025-03-19
